empieza;tipo;tema
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;calcular el descuento individual de cada producto;hacer
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;calcular el valor total con y sin descuento;hacer
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;$10.550 en dulces;entrada
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;$50.000 en carne;entrada
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;$35.000 en productos de aseo;entrada
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;valor total con descuento;salida
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;valor total sin descuento;salida
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;llamar una función que calcule el descuento por tipo de articulo;pseudocodigo
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;calcular el total con descuento;pseudocodigo
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;calcular el total sin descuento;pseudocodigo
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;mostrar en pantalla el valor con descuento;pseudocodigo
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;mostrar en pantalla el valor sin descuento;pseudocodigo
-;-;-
Verificar si dos números ingresados son iguales;dos números;condicion-info
Verificar si dos números ingresados son iguales;verificar si son iguales;condicion-info
Verificar si dos números ingresados son iguales;verificar la igualdad de dos números;hacer
Verificar si dos números ingresados son iguales;dos números;entrada
Verificar si dos números ingresados son iguales;booleano (true or false);salida
Verificar si dos números ingresados son iguales;recibir dos números por teclado;pseudocodigo
Verificar si dos números ingresados son iguales;comparar si son iguales;pseudocodigo
Verificar si dos números ingresados son iguales;mostrar en pantalla el resultado booleano;pseudocodigo
-;-;-
Verificar si un número es menor a 10;un número dado;condicion-info
Verificar si un número es menor a 11;verificar si es menor a 10;condicion-info
Verificar si un número es menor a 12;comprobar si un número es menor a 10;hacer
Verificar si un número es menor a 13;un número;entrada
Verificar si un número es menor a 14;booleano (true or false);salida
Verificar si un número es menor a 15;recibir por teclado un número;pseudocodigo
Verificar si un número es menor a 16;verificar si es menor a 10;pseudocodigo
Verificar si un número es menor a 17;mostrar en pantalla el resultado booleano;pseudocodigo
-;-;-
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 30;un número dado;condicion-info
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 31;comprobar si es mayor o igual que 10;condicion-info
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 32;comprobar si es menor que 20;condicion-info
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 33;comprobar si es mayor que 30;condicion-info
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 34;comprobar cada una de las condiciones para el número dado;hacer
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 35;número;entrada
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 36;booleano (true or false) para cada una de las condiciones;salida
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 37;recibir por teclado un número;pseudocodigo
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 38;mostrar en pantalla el resultado booleano para mayor o igual que 10;pseudocodigo
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 39;mostrar en pantalla el resultado booleano para menor que 20;pseudocodigo
Hacer un programa que determine verdadero o falso si un número es mayor o igual que 10 y menor que 20 o mayor que 40;mostrar en pantalla el resultado booleano para mayor que 30;pseudocodigo
-;-;-
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;número de 3 cifras;condicion-info
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;descomponer el número en sus unidades fundamentales;condicion-info
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;realizar un programa que descomponga el número en sus unidades fundamentales;hacer
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;número de 3 cifras;entrada
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;string con el resumen de los resultados;salida
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;recibir por teclado un número de 3 cifras;pseudocodigo
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;llamar la función que realiza la división en unidades fundamentales;pseudocodigo
Dado un número de 3 cifras, descomponerlo en sus unidades fundamentales y decir la cantidad correspondiente, ejemplo: el número 631 tiene una unidad, 3 decenas y 6 centésimas.;mostrar e pantalla el resultado;pseudocodigo
-;-;-
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 285;número de 3 cifras;condicion-info
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 286;descomponer el número en sus unidades fundamentales;condicion-info
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 287;invertir el número de 3 cifras;condicion-info
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 288;realizar un programa que invierta el número ;hacer
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 289;número de 3 cifras;entrada
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 290;número invertido;salida
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 291;recibir por teclado un número de 3 cifras;pseudocodigo
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 292;llamar la función que realiza la división en unidades fundamentales;pseudocodigo
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 293;llamar la función que invierte el número anterior;pseudocodigo
Del ejercicio anterior, descomponer un número dado e invertirlo, por ejemplo, 582 pasaría a ser 294;mostrar el número en pantalla;pseudocodigo
-;-;-
Crear un programa que determine el mayor de 3,4 y 5 números.;grupo de 3, 4 y 5 números;condicion-info
Crear un programa que determine el mayor de 3,4 y 5 números.;determinar el mayor de cada uno de los grupos;condicion-info
Crear un programa que determine el mayor de 3,4 y 5 números.;grupo de 3,4 y 5 números;entrada
Crear un programa que determine el mayor de 3,4 y 5 números.;el número mayor de cada uno los grupos;salida
Crear un programa que determine el mayor de 3,4 y 5 números.;calcular el mayor de cada uno de los grupos;hacer
Crear un programa que determine el mayor de 3,4 y 5 números.;recibir por teclado cada subgrupo de números guardando cada uno en un array;pseudocodigo
Crear un programa que determine el mayor de 3,4 y 5 números.;llamar a la función para calcular el mayor de un grupo de números;pseudocodigo
Crear un programa que determine el mayor de 3,4 y 5 números.;llamar la función para los grupos de 3,4 y 5;pseudocodigo
Crear un programa que determine el mayor de 3,4 y 5 números.;mostrar en pantalla el mayor de cada subgrupo;pseudocodigo
-;-;-
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;recibir la fecha de un año;condicion-info
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;indicar si el año es bisiesto o no;condicion-info
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;indicar si el año es bisiesto o no;hacer
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;fecha de un año;entrada
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;booleano (true or false);salida
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;recibir por teclado la fecha de un año;pseudocodigo
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;tomar el dato del año e introducirlo en una función que realice la operación;pseudocodigo
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;la función dividirá entre 4 el dato del año y devolverá true or false;pseudocodigo
Se necesita crear un programa que reciba la fecha de un año e indique si este es o no bisisesto;mostrar en pantalla el resultado de la función;pseudocodigo
-;-;-
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;intervalo de números enteros;condicion-info
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;condicion-info
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;sumar todos los elementos del intervalo y verificar que sea un número primo;hacer
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;intervalo de numeros enteros;entrada
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;numero primo;salida
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;recibir por teclado los limites del intervalo;pseudocodigo
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;sumar los elementos del intervalo con un for;pseudocodigo
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;verificar si la condición de numero primo se cumple;pseudocodigo
Crear un programa que, dado un intervalo de números entero, verifique si la suma de los elementos comprendidos en el intervalo da como resultado un numero primo.;mostrar  el resultado en pantalla;pseudocodigo
-;-;-
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);número entero;condicion-info
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);contar el número de veces que se repite un dígito;condicion-info
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);desarrollar un programa que cuente el número de digitos repetidos de un número entero;hacer
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);número entero en un string;entrada
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);conteo de los dígitos;salida
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);recibir por teclado el número entero como un string;pseudocodigo
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);mediante una función y con ayuda de las funciones para las strings hacer el conteo de los digitos;pseudocodigo
Construir una función que reciba un número entero y cuente el número de veces que se repite un dígito (si existe);mostrar el resultado en pantalla;pseudocodigo
-;-;-
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;conjunto de números en un vector;condicion-info
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;calcular el mayor todos los elementos;condicion-info
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;recibir un arreglo de números y calcular cual es el mayor;hacer
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;conjunto de digitos;entrada
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;número entero;salida
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;recibir por teclado un conjunto de números y guardarlos en un vector;pseudocodigo
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;buscar el mayor en el arreglo  con un for;pseudocodigo
Crear una función que permita llenar un vector de n digitos (por teclado) y calcule cual es el mayor de todos los elementos;mostrar el resultado en pantalla;pseudocodigo
-;-;-
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;vector de números enteros;condicion-info
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;ordenar de mayor a menor el vector;condicion-info
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;ordenar de menor a mayor el vector;condicion-info
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;ordenar de mayor a menor y de menor a mayor el vector dado;hacer
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;vector de números enteros;entrada
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;vector ordenado de mayor a menor;salida
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;vector ordenado de menor a mayor;salida
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;recibir por teclado un vector de números enteros;pseudocodigo
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;llamar la función que mediante un for, ordena de menor a mayor el vector;pseudocodigo
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;llamar la función que mediante un for, ordena de mayor a menor el vector;pseudocodigo
Crear una función que permita ordenar un vector de mayor a menor y menor a mayor;mostrar en pantalla el resultado de las funciones;pseudocodigo
-;-;-
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;dos vectores de números enteros;condicion-info
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;devolver un vector conformado por los números pares ;condicion-info
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;devolver un vector conformado por los números impares;condicion-info
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;recibir dos vectores de números y devolver un vector d elos números impares y otro con los pares;hacer
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;dos vectores de números enteros;entrada
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;dos vectores: uno de números impares y otro de pares;salida
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;recibir por teclado números neteros y guardarlos en dos vectores;pseudocodigo
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;definir dos vectores para almacena rlos números pares e impares;pseudocodigo
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;mediante un for realizar el recorrido para llenar los dos nuevos vectores;pseudocodigo
Construir un programa que, dados dos vectores, devuelva dos nuevos vectores que junten los números pares e impares de cada uno;mostrar en pantalla los vectores de números pares e impares;pseudocodigo
-;-;-
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;recibir una lista de datos;condicion-info
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;aplicar las principales medida de dispersión para los datos de la lista;condicion-info
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;formula de la media;condicion-info
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;formula de la mediana;condicion-info
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;formula de la moda;condicion-info
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;formula de la desviación estándar;condicion-info
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;desarrollar un programa que reciba una lista de datos y se le apliquen las principales medidas de dispersión;hacer
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;lista de datos;entrada
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;resultado de las medidas de dispersión;salida
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;recibir por teclado un listado de datos;pseudocodigo
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;llamar la función para la media;pseudocodigo
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;llamar la función para la mediana;pseudocodigo
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;llamar la función para la moda;pseudocodigo
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;llamar la función para la desviación estandar;pseudocodigo
Crear un programa capaz de recibir una lista de datos y calcular la media, mediana, moda y desviación estándar del conjunto de datos;mostrar en pantalla el resultado de las funciones;pseudocodigo
